"tienen un significado especial en la URL y deberán ser reemplazados en esta por su","",""
"representación hexadecimal.","",""
"Nombre","Carácter","Referencia Hexadecimal"
"Espacio","","%20;"
"Cierra admiración","","%21"
"Numeral","! #","%23"
"Pesos (dólar)","$","%24"
"Et","",""
"","&","%26"
"(ampersand)","",""
"Apóstrofo","","%27"
"Paréntesis izquierdo","' ( )","%28"
"Paréntesis derecho","","%29"
"Asterisco","","%2A"
"Más","","%2B"
"Coma","* + , / :","%2C"
"Barra","","%2F"
"Dos puntos","","%3A"
"Punto y coma",";","%3B"
