No.,Campo,Descripción,Tipo,Largo,Validación,Obligatoriedad
,,,,Máx.,,
,ÁREA,,,,,
,,DETALLE ACUSE DE RECIBO,,,,1
,<DetalleAcusedeRecibo>,,,,,
,,,,,,
,,Versión del formato de Acuse de,,,,
1,Versión,,NUM,3,Valor: 1.0,1
,,Recibo.,,,,
,,,,,,
,,,,,,
,,,,,RNC/Cédula cumple con la,
,RNC del Emisor,Número del Registro Nacional del,,,,
2,,,NUM,9 u 11,estructura de formato.,1
,<RNCEmisor>,contribuyente que emite el e-CF.,,,,
,,,,,,
,,,,,,
,,,,,,
,,Número del Registro Nacional del,,,RNC/Cédula cumple con la,
,RNC del Comprador,,,,,
3,,contribuyente que emite el Acuse,NUM,9 u 11,estructura de formato.,1
,<RNCComprador>,de Recibo del e-CF.,,,,
,,,,,,
,,,,,,
,e-NCF,,,,,
,,Número Comprobante Fiscal,ALFA,,e-NCF cumple con la estructura,
4,,,,13,,1
,<eNCF>,Electrónico (e-NCF),NUM,,de formato.,
,,,,,,
5,"Estado
<Estado>","Código de respuesta del Acuse
de Recibo.",NUM,1,"0: e-CF Recibido
1: e-CF No Recibido",1
6,"Código Motivo No Recibido
<CodigoMotivoNoRecibido>","Código numérico que indica el
motivo de rechazo del e-CF.
Condicional a que el Estado tenga
valor 1.",NUM,1,"Código motivo de No Recibido
1: Error de especificación.
2: Error de Firma Digital.
3: Envío duplicado
4: RNC Comprador no
corresponde",2
7,"Fecha y Hora Generación
Acuse de Recibo
<FechaHoraAcuseRecibo>","Fecha y hora en formato
dd-MM-AAAA HH:mm:ss","ALFA
NUM",19,"Fecha y hora cumplen con el
formato indicado.",1
,FIN ÁREA,DETALLE ACUSE DE RECIBO,,,,
