"CÓDIGO","Tipo Impuesto","Tipo Impuesto 
(Abreviatura)","Descripción","Tasa"
"001","Propina Legal","Propina Legal","Propina Legal","10%"
"002","Contribución al Desarrollo de 
las Telecomunicaciones","CDT","Contribución al Desarrollo de las Telecomunicaciones 
Ley 153-98 Art. 45","2%"
"003 
004","Impuesto Selectivo al 
Consumo","ISC","Servicios Seguros en general","16%"
"","","","Servicios de Telecomunicaciones","10%"
"005","Impuesto sobre el Primer 
Registro de Vehículos 
(Primera Placa)","","Expedición de la primera placa","17%"
"006 
007 
008 
009 
010 
011 
012 
013 
014 
015 
016 
017 
018 
019 
020 
021 
022","Impuesto Selectivo al 
Consumo (Tasa Específico)","ISC Específico82","Cerveza","632.58"
"","","","Vinos de uva","632.58"
"","","","Vermut y demás vinos de uvas frescas","632.58"
"","","","Demás bebidas fermentadas","632.58"
"","","","Alcohol Etílico sin desnaturalizar (Mayor o igual a 80%)","632.58"
"","","","Alcohol Etílico sin desnaturalizar (inferior a 80%)","632.58"
"","","","Aguardientes de uva","632.58"
"","","","Whisky","632.58"
"","","","Ron y demás aguardientes de caña","632.58"
"","","","Gin y Ginebra","632.58"
"","","","Vodka","632.58"
"","","","Licores","632.58"
"","","","Los demás (Bebidas y Alcoholes)","632.58"
"","","","Cigarrillos que contengan tabaco cajetilla 20 unidades","53.51"
"","","","Los demás Cigarrillos que contengan 20 unidades","53.51"
"","","","Cigarrillos que contengan 10 unidades","26.75"
"","","","Los demás Cigarrillos que contengan 10 unidades","26.75"
