"","Tipo Impuesto","Tipo Impuesto 
(Abreviatura)","Descripción","Tasa"
"023 
024 
025 
026 
027 
028 
029 
030 
031 
032 
033 
034 
035 
036 
037 
038 
039","Impuesto Selectivo al 
Consumo  
(Tasa AdValorem)","ISC AdValorem","Cerveza","10%"
"","","","Vinos de uva","10%"
"","","","Vermut y demás vinos de uvas frescas","10%"
"","","","Demás bebidas fermentadas","10%"
"","","","Alcohol Etílico sin desnaturalizar (Mayor o igual a 80%)","10%"
"","","","Alcohol Etílico sin desnaturalizar (inferior a 80%)","10%"
"","","","Aguardientes de uva","10%"
"","","","Whisky","10%"
"","","","Ron y demás aguardientes de caña","10%"
"","","","Gin y Ginebra","10%"
"","","","Vodka","10%"
"","","","Licores","10%"
"","","","Los demás (Bebidas y Alcoholes)","10%"
"","","","Cigarrillos que contengan tabaco cajetilla 20 unidades","20%"
"","","","Los demás Cigarrillos que contengan 20 unidades","20%"
"","","","Cigarrillos que contengan 10 unidades","20%"
"","","","Los demás Cigarrillos que contengan 10 unidades","20%"
