"CÓDIGO 
PROVINCIA","CÓDIGO 
MUNICIPIO","DESCRIPCIÓN"
"","290101","MONTE PLATA (D. M.)."
"","290102","DON JUAN (D. M.)."
"","290103","CHIRINO (D. M.)."
"","290104","BOYÁ (D. M.)."
"","290200","MUNICIPIO BAYAGUANA"
"","290201","BAYAGUANA (D. M.)."
"","290300","MUNICIPIO SABANA GRANDE DE BOYÁ"
"","290301","SABANA GRANDE DE BOYÁ (D. M.)."
"","290302","GONZALO (D. M.)."
"","290303","MAJAGUAL (D. M.)."
"","290400","MUNICIPIO YAMASÁ"
"","290402","LOS BOTADOS (D. M.)."
"","290403","MAMÁ TINGÓ (D. M.)."
"","290500","MUNICIPIO PERALVILLO"
"","290501","PERALVILLO (D. M.)."
"300000","","PROVINCIA HATO MAYOR"
"","300100","MUNICIPIO HATO MAYOR"
"","300101","HATO MAYOR (D. M.)."
"","300102","YERBA BUENA (D. M.)."
"","300103","MATA PALACIO (D. M.)."
"","300104","GUAYABO DULCE (D. M.)."
"","300200","MUNICIPIO SABANA DE LA MAR"
"","300201","SABANA DE LA MAR (D. M.)."
"","300202","ELUPINA CORDERO DE LAS CAÑITAS (D. 
M.)."
"","300300","MUNICIPIO EL VALLE"
"","300301","EL VALLE (D. M.)."
"310000","","PROVINCIA SAN JOSÉ DE OCOA"
"","310100","MUNICIPIO SAN JOSÉ DE OCOA"
