"Código","Abrev.","Medida"
"1","BARR","Barril"
"2","BOL","Bolsa"
"3","BOT","Bote"
"4","BULTO","Bultos"
"5","BOTELLA","Botella"
"6","CAJ","Caja/Cajón"
"7","CAJETILLA","Cajetilla"
"8","CM","Centímetro"
"9","CIL","Cilindro"
"10","CONJ","Conjunto"
"11","CONT","Contenedor"
"12","DÍA","Día"
"13","DOC","Docena"
"14","FARD","Fardo"
"15","GL","Galones"
"16","GRAD","Grado"
"17","GR","Gramo"
"18","GRAN","Granel"
"19","HOR","Hora"
"20","HUAC","Huacal"
"21","KG","Kilogramo"
"22","kWh","Kilovatio Hora"
"23","LB","Libra"
"24","LITRO","Litro"
"25","LOT","Lote"
"26","M","Metro"
"27","M2","Metro Cuadrado"
"28","M3","Metro Cúbico"
