"","","","","","","","Regí.","","",""
"","Fact. Créd.","Fact.","Nota","Nota","","Gastos","","","",""
"","","","","","Compras","","Espec.","","Export.","Exterior"
"","Fiscal","Consum.","Déb.","Créd.","","Menor.","","Guber.","",""
"Sección","","","","","Electr.","","Electr.","","Electr.","Electr."
"","Electr.","Electr.","Electr.","Electr.","","Electr.","","Electr.","",""
"","31","32","33","34","41","43","44","45","46","47"
"Encabezado","1","1","1","1","1","1","1","1","1","1"
"Detalle de Bienes o Servicios","1","1","1","1","1","1","1","1","1","1"
"Subtotales Informativos","3","3","3","3","3","3","3","3","3","3"
"Descuentos o Recargos1","2","2","2","2","2","2","2","2","2","2"
"Paginación","2","2","2","2","2","2","2","2","2","2"
"Información de Referencia","2","2","1","1","2","2","2","2","2","2"
"Fecha y Hora de la firma digital","1","1","1","1","1","1","1","1","1","1"
"Firma Digital","1","1","1","1","1","1","1","1","1","1"
