"","Número Albarán","Corresponde 
al 
número 
de","","ALFA","","","","","","","","","","","",""
"91","","","20","","a) Sin validación","N","3","3","3","3","0","0","3","3","3","0"
"","<NumeroAlbaran>","albarán de entrega.","","NUM","","","","","","","","","","","",""
"","FIN ÁREA","TRANSPORTE","","","","","","","","","","","","","",""
"","ÁREA","","","","","","","","","","","","","","",""
"","","TOTALES","","","","","1","1","1","1","1","1","1","1","1","1"
"","<Totales>","","","","","","","","","","","","","","",""
"","","","","","a)  Valor  numérico  de  16  enteros,  2","","","","","","","","","","",""
"","","Total  de  la  suma  de  valores  de","","","","","","","","","","","","","",""
"","","","","","decimales; 
≥ 
0 
(No 
puede 
ser","","","","","","","","","","",""
"","","monto 
gravado 
ITBIS 
a","","","","","","","","","","","","","",""
"","","","","","negativo).","","","","","","","","","","",""
"","Monto Gravado Total11","diferentes tasas.","","","","","","","","","","","","","",""
"92","","","18","NUM","b) Valor numérico de la sumatoria del","I","2","2","2","2","2","0","0","2","2","0"
"","<MontoGravadoTotal>","Condicional a que exista Monto","","","","","","","","","","","","","",""
"","","","","","total  Monto  gravado  ITBIS  Tasa1  +","","","","","","","","","","",""
"","","gravado1, y/o Monto gravado 2","","","","","","","","","","","","","",""
"","","","","","Monto gravado ITBIS Tasa 2 + Monto","","","","","","","","","","",""
"","","y/o Monto gravado 3.","","","","","","","","","","","","","",""
"","","","","","gravado ITBIS Tasa3.","","","","","","","","","","",""
