"","","","","","","","OBLIGATORIEDAD","","","","",""
"","","","I
Fact. Créd.","Fact.","Nota","Nota","","Gastos","Regím.","","","Pagos"
"","","","Fiscal","Consum.","Déb.","Créd.","Compras","Menor.","Espec.","Guber.","Export.","Exterior"
"","Largo","Tipo","","","","","","","","","",""
"CAMPOS","DESCRIPCIÓN","Validación","","","","","","","","","",""
"","","","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr."
"","Max","","","","","","","","","","",""
"","","","31","32","33","34","41","43","44","45","46","47"
"","OTRA MONEDA ENCABEZADO","","","","","","","","","","",""
"FIN ÁREA","","","","","","","","","","","",""
"FIN ÁREA","ENCABEZADO","","","","","","","","","","",""
"","","","Pág. 34 de 87","","","","","","","","",""
