"T","ABLA I. CODIFICACIÓN TIPOS DE IMPUESTOS ADICIONALES","","",""
"","","Tipo Impuesto","",""
"CÓDIGO","Tipo Impuesto","","Descripción","Tasa"
"","","(Abreviatura)","",""
"","","Propina Legal","",""
"001","Propina Legal","","Propina Legal","10%"
"","","CDT","",""
"","Contribución al Desarrollo de","","Contribución al Desarrollo de las Telecomunicaciones",""
"002","","","","2%"
"","las Telecomunicaciones","","Ley 153-98 Art. 45",""
"003","Impuesto Selectivo al","ISC","Servicios Seguros en general","16%"
"004","Consumo","","Servicios de Telecomunicaciones","10%"
"","Impuesto sobre el Primer","","",""
"005","Registro de Vehículos","","Expedición de la primera placa","17%"
"","(Primera Placa)","","",""
"006","","ISC Específico82","Cerveza","632.58"
"007","","","Vinos de uva","632.58"
"008","","","Vermut y demás vinos de uvas frescas","632.58"
"009","","","Demás bebidas fermentadas","632.58"
"010","","","Alcohol Etílico sin desnaturalizar (Mayor o igual a 80%)","632.58"
"011","","","Alcohol Etílico sin desnaturalizar (inferior a 80%)","632.58"
"012","","","Aguardientes de uva","632.58"
"013","","","Whisky","632.58"
"","Impuesto Selectivo al","","",""
"014","Consumo (Tasa Específico)","","Ron y demás aguardientes de caña","632.58"
"015","","","Gin y Ginebra","632.58"
"016","","","Vodka","632.58"
"017","","","Licores","632.58"
"018","","","Los demás (Bebidas y Alcoholes)","632.58"
"019","","","Cigarrillos que contengan tabaco cajetilla 20 unidades","53.51"
"020","","","Los demás Cigarrillos que contengan 20 unidades","53.51"
"021","","","Cigarrillos que contengan 10 unidades","26.75"
"022","","","Los demás Cigarrillos que contengan 10 unidades","26.75"
