"CÓDIGO","CÓDIGO",""
"","","DESCRIPCIÓN"
"PROVINCIA","MUNICIPIO",""
"","060500","MUNICIPIO VILLA RIVA"
"","060501","VILLA RIVA (D. M.)."
"","060502","AGUA SANTA DEL YUNA  (D. M.)."
"","060503","CRISTO REY DE GUARAGUAO (D. M.)."
"","060504","LAS TARANAS (D. M.)."
"","060505","BARRAQUITO (D. M.)."
"","060600","MUNICIPIO LAS GUÁRANAS"
"","060601","LAS GUÁRANAS (D. M.)."
"","060700","MUNICIPIO EUGENIO MARÍA DE HOSTOS"
"","060701","EUGENIO MARÍA DE HOSTOS (D. M.)."
"","060702","SABANA GRANDE (D. M.)."
"070000","","PROVINCIA ELÍAS PIÑA"
"","070100","MUNICIPIO COMENDADOR"
"","070101","COMENDADOR (D. M.)."
"","070102","SABANA LARGA (D. M.)."
"","070103","GUAYABO  (D. M.)."
"","070200","MUNICIPIO BÁNICA"
"","070201","BÁNICA (D. M.)."
"","070202","SABANA CRUZ (D. M.)."
"","070203","SABANA HIGÜERO (D. M.)."
"","070300","MUNICIPIO EL LLANO"
"","070301","EL LLANO (D. M.)."
"","070302","GUANITO (D. M.)."
"","070400","MUNICIPIO HONDO VALLE"
"","070401","HONDO VALLE (D. M.)."
"","070402","RANCHO DE LA GUARDIA (D. M.)."
"","070500","MUNICIPIO PEDRO SANTANA"
"","070501","PEDRO SANTANA (D. M.)."
