"Código","Abrev.","Medida"
"29","","Millones de Unidades"
"","MMBTU",""
"","","Térmicas"
"30","MIN","Minuto"
"31","PAQ","Paquete"
"32","PAR","Par"
"33","PIE","Pie"
"34","PZA","Pieza"
"35","ROL","Rollo"
"36","SOBR","Sobre"
"37","SEG","Segundo"
"38","TANQUE","Tanque"
"39","TONE","Tonelada"
"40","TUB","Tubo"
"41","YD","Yarda"
"42","YD2","Yarda cuadrada"
"43","UND","Unidad"
"44","EA","Elemento"
"45","MILLAR","Millar"
"46","SAC","Saco"
"47","LAT","Lata"
"48","DIS","Display"
"49","BID","Bidón"
"50","RAC","Ración"
"51","Q","Quintal"
"","","Gross Register Tonnage"
"52","GRT",""
"","","(Toneladas de registro bruto)"
"53","P2","Pie cuadrado"
"54","PAX","Pasajero"
"55","PULG","Pulgadas"
"56","STAY","Parqueo barcos en muelle"
"57","BDJ","Bandeja"
