,,,,,,,OBLIGATORIEDAD,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,I,Fact.,,,,,,,,,
,CAMPOS,DESCRIPCIÓN,Largo,Tipo,Validación,,Créd.,Fact.,Nota,Nota,,Gastos,Regím.,,,Pagos
,,,,,,,,,,,,,,,,
,,,,,,,Fiscal,Consum.,Déb.,Créd.,Compras,Menor.,Espec.,Guber.,Export.,Exterior
,,,Max,,,,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.,Electr.
,,,,,,,,,,,,,,,,
,,,,,,,31,32,33,34,41,43,44,45,46,47
,,Total de la suma de valores de Ítems,,,a) Valor numérico de 16,,,,,,,,,,,
,,gravados asignados a ITBIS tasa 3 en,,,"enteros, 2 decimales; ≥ 0 (No",,,,,,,,,,,
,,"Otra Moneda (tasa 0%), menos",,,puede ser negativo).,,,,,,,,,,,
,,descuentos en Otra Moneda más,,,,,,,,,,,,,,
,,,,,b) Suma de valores del,,,,,,,,,,,
,,recargos en Otra Moneda.,,,,,,,,,,,,,,
,Monto gravado ITBIS Tasa 3,(Asignados a ítem gravados en Otra,,,monto ítem con indicador de,,,,,,,,,,,
125,Otra Moneda,Moneda).,18,NUM,"facturación=3, menos",N,2,2,2,2,2,0,0,2,2,0
,<MontoGravado3OtraMoneda>,,,,descuentos en Otra Moneda,,,,,,,,,,,
,,Condicional a que exista datos en,,,más recargos en Otra,,,,,,,,,,,
,,código otra moneda y el ítem,,,Moneda.,,,,,,,,,,,
,,contenga indicador de facturación,,,,,,,,,,,,,,
,,igual a 3.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,a) Valor numérico de 16,,,,,,,,,,,
,,Total de la suma de valores de ítems,,,,,,,,,,,,,,
,,,,,"enteros, 2 decimales; ≥ 0 (No",,,,,,,,,,,
,,"exentos, menos descuentos en Otra",,,,,,,,,,,,,,
,,,,,puede ser negativo).,,,,,,,,,,,
,,Moneda más recargos en Otra,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Monto exento en Otra,Moneda (asignados a ítems exentos).,,,Suma de valores del monto,,,,,,,,,,,
126,Moneda,,18,NUM,ítem con indicador de,N,2,2,2,2,2,236,2,2,0,2
,<MontoExentoOtraMoneda>,Condicional a que exista datos en,,,"facturación=4, menos",,,,,,,,,,,
,,código otra moneda y el ítem,,,,,,,,,,,,,,
,,,,,descuentos en Otra Moneda,,,,,,,,,,,
,,contenga indicador de facturación,,,,,,,,,,,,,,
,,,,,más recargos en Otra,,,,,,,,,,,
,,igual a 4.,,,,,,,,,,,,,,
,,,,,Moneda.,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,a) Valor numérico de,,,,,,,,,,,
,,,,,"16 enteros, 2 decimales; ≥ 0",,,,,,,,,,,
,,Total de la suma de valores de ITBIS,,,,,,,,,,,,,,
,,en Otra Moneda a diferentes tasas.,,,(No puede ser negativo).,,,,,,,,,,,
,,,,,,,,,,,,,,,,
127,Total ITBIS en Otra Moneda,Condicional a que exista Total ITBIS,18,NUM,b) Suma de Total ITBIS Tasa 1,N,2,2,2,2,2,0,0,2,2,0
,<TotalITBISOtraMoneda>,"Tasa 1 en Otra Moneda, y/o Total",,,en Otra Moneda + Total ITBIS,,,,,,,,,,,
,,ITBIS Tasa 2 en Otra Moneda y/o,,,,,,,,,,,,,,
,,,,,Tasa 2 en Otra Moneda +,,,,,,,,,,,
,,Total ITBIS Tasa 3 en Otra Moneda.,,,,,,,,,,,,,,
,,,,,Total ITBIS Tasa 3 en Otra,,,,,,,,,,,
,,,,,Moneda.,,,,,,,,,,,
