CÓDIGO,Tipo Impuesto,,Tipo Impuesto,,Descripción,Tasa
,,,(Abreviatura),,,
001,Propina Legal,Propina Legal,,,Propina Legal,10%
002,"Contribución al Desarrollo de
las Telecomunicaciones",CDT,,,"Contribución al Desarrollo de las Telecomunicaciones
Ley 153-98 Art. 45",2%
003,"Impuesto Selectivo al
Consumo",ISC,,,Servicios Seguros en general,16%
004,,,,,Servicios de Telecomunicaciones,10%
005,"Impuesto sobre el Primer
Registro de Vehículos
(Primera Placa)",,,,Expedición de la primera placa,17%
006,"Impuesto Selectivo al
Consumo (Tasa Específico)",ISC Específico82,,,Cerveza,632.58
007,,,,,Vinos de uva,632.58
008,,,,,Vermut y demás vinos de uvas frescas,632.58
009,,,,,Demás bebidas fermentadas,632.58
010,,,,,Alcohol Etílico sin desnaturalizar (Mayor o igual a 80%),632.58
011,,,,,Alcohol Etílico sin desnaturalizar (inferior a 80%),632.58
012,,,,,Aguardientes de uva,632.58
013,,,,,Whisky,632.58
014,,,,,Ron y demás aguardientes de caña,632.58
015,,,,,Gin y Ginebra,632.58
016,,,,,Vodka,632.58
017,,,,,Licores,632.58
018,,,,,Los demás (Bebidas y Alcoholes),632.58
019,,,,,Cigarrillos que contengan tabaco cajetilla 20 unidades,53.51
020,,,,,Los demás Cigarrillos que contengan 20 unidades,53.51
021,,,,,Cigarrillos que contengan 10 unidades,26.75
022,,,,,Los demás Cigarrillos que contengan 10 unidades,26.75
