,,,,,"a) Valor numérico de 16 enteros, dos",
,,Corresponde al total del monto,,,decimales. (Puede ser negativo),
,Monto Período,,,,,
30,,"periodo, asignados en la factura",18,NUM,,3
,<MontoPeriodo>,,,,b) Monto período= Monto,
,,de consumo electrónica.,,,,
,,,,,Total+Monto No Facturable.,
,,,,,,
,,,,,,
,FIN ÁREA,TOTALES,,,,
,,Corresponde a los 6 primeros,,,,
,Código Seguridad Factura de,caracteres del Hash de la firma,,,,
,,,,ALFA,,
31,Consumo DOP$<250 M,digital correspondiente a la,6,,a) Sin validación,1
,,,,NUM,,
,<CodigoSeguridadeCF>,factura de consumo electrónica,,,,
,,,,,,
,,"emitida, menor a DOP$250 M.",,,,
,,,,,,
,FIN ÁREA,ENCABEZADO,,,,
